공모전이름,주최사,마감일,링크
2026 가명정보 활용 경진대회,주최사 정보 미상,정보 없음,정보 없음
2026 가명정보 활용 경진대회,"개인정보보호위원회, 과학기술정보통신부, 보건복지부, 금융위원회",정보 없음,정보 없음
제6회 희망플러스 출생장려 수기 공모전,주최사 정보 미상,정보 없음,정보 없음
2026 국제해양법 모의재판대회,주최사 정보 미상,정보 없음,정보 없음
제14회 산업통상부 공공데이터 활용 아이디어 공모전,하는 제14회 공공데이터 활용 아이디어 공모전이 개최됩니다!,정보 없음,정보 없음
제6회 희망플러스 출생장려 수기 공모전,(사)한국출산장려진흥회중앙회,정보 없음,정보 없음
제7회 계룡장학재단 건축 아이디어 공모전,계룡장학재단,정보 없음,정보 없음
제14회 산업통상부 공공데이터 활용 아이디어 공모전,산업통상부,정보 없음,정보 없음
제30회 실크 텍스타일 디자인 공모전,진주시,정보 없음,정보 없음
2026 코드게이트 AI 스타트업 해커톤,사단법인 코드게이트보안포럼,정보 없음,정보 없음
2026 전국 청소년 AI에이전트 코딩 경진대회 (참가비 있음),한양미래연구소 | 주관: 모두의 문제 연구소 | 후원: 한양대학교 ERICA 수리데이터사이언스학과,정보 없음,정보 없음
2026년 트래블 이노베이션 아이디어 공모전,야놀자리서치,정보 없음,정보 없음
릴레이 토크콘서트 청년담장 이야기영상 공모전,주최사 정보 미상,정보 없음,정보 없음
2026 대한민국 지자체 · 공공 캐릭터 페스티벌 대상 공모전,한국문화콘텐츠라이센싱협회,정보 없음,정보 없음
2026 전국 청소년 AI에이전트 코딩 경진대회 (참가비 있음),한양미래연구소,정보 없음,정보 없음
2026년도 직업훈련 혁신 우수사례·아이디어 공모전,한국기술교육대학교 직업능력심사평가원,정보 없음,정보 없음
기술보증기금 2026년도 대국민 혁신 아이디어 공모전,기술보증기금,정보 없음,정보 없음
릴레이 토크콘서트 청년담장 이야기 영상공모전,부산광역시 남구청,정보 없음,정보 없음
제3회 한남대학교 청소년 찬양축제 (H&U Worship Festival),주최사 정보 미상,정보 없음,정보 없음
2026 대한민국 지역문화대전 - 제41회 전국향토문화공모전,문화체육관광부·한국문화원연합회,정보 없음,정보 없음
2026 멈추지 않는 커리어 숏폼 공모전,주최사 정보 미상,정보 없음,정보 없음
제3회 한남대학교 청소년 찬양축제 (H&U Worship Festival),한남대학교,정보 없음,정보 없음
2026 멈추지 않는 커리어 숏폼 공모전,서울광역여성새로일하기센터,정보 없음,정보 없음
2026 인권공모전,국가인권위원회,정보 없음,정보 없음
2026년 전주MBC K-하이테크 플랫폼 제2회 가상현실 공간 창작 공모전,전주MBC K-하이테크 플랫폼,정보 없음,정보 없음
[MYSLIDE] 2026 제6회 IYAC 글로벌 청소년 미술 대회,주최사 정보 미상,정보 없음,정보 없음
2027 서울 세계청년대회 명동 미디어큐브 & 1898 미디어월 청소년·청년 미디어아트 공모전,"·주관 기관에 귀속되며, 출품자에게 사전 고지 후 활용됩니다.",정보 없음,정보 없음
2027 서울 세계청년대회 명동 미디어큐브 & 1898 미디어월 청소년·청년 미디어아트 공모전,가톨릭평화방송평화신문,정보 없음,정보 없음
[한국석유공사] 2026년 숏폼 공모전,주최사 정보 미상,정보 없음,정보 없음
전북지역 초등학생 대상 교사·부모와 함께 생각하는 방사선 이야기 그림 공모전,한국원자력연구원 첨단방사선연구소,정보 없음,정보 없음
제2회 수채화시인 강원석 캘리그라피 시화 공모전,측에서 일괄 표구 액자 및 도록 제작,정보 없음,정보 없음
제2회강원석캘리그라피시화공모전,한국캘리그라피아트센터,정보 없음,정보 없음
2026년 평택시의회 정책 아이디어 공모전,평택시의회,정보 없음,정보 없음
[한국석유공사] 2026년 숏폼 공모전,한국석유공사,정보 없음,정보 없음
